Employee ID,Employee Type,Department,Workplace Factor,Stress Level,Burnout Frequency,Job Satisfaction,Access to EAPs,Mental Health Absences,Turnover Intention
HCP-00066,Physician (Specialist),Specialty Care,Poor Work Environment,7,Occasionally,2,Yes,9,Yes
HCP-00067,Registered Nurse,General Medicine,Heavy Workload,9,Never,2,Yes,10,Yes
HCP-00068,Healthcare Administrator,Administration,Career Stagnation,5,Occasionally,3,No,3,Yes
HCP-00069,Registered Nurse,General Medicine,Career Stagnation,5,Never,3,No,8,No
HCP-00070,Laboratory Technician,Laboratory,Safety Concerns,9,Often,2,Yes,10,Yes
HCP-00071,Healthcare Administrator,Administration,Poor Work Environment,8,Often,1,Yes,6,Yes
HCP-00072,Registered Nurse,General Medicine,Poor Work Environment,8,Occasionally,1,Yes,6,Yes
HCP-00073,Registered Nurse,General Medicine,Heavy Workload,9,Often,2,No,8,No
HCP-00074,Healthcare Administrator,Administration,Career Stagnation,4,Never,4,Yes,5,No
HCP-00075,Nursing Assistant,Assisted Living,Poor Work Environment,8,Often,2,No,9,Yes
HCP-00076,Nursing Assistant,Assisted Living,Emotional Demands,6,Occasionally,2,Yes,5,Yes
HCP-00077,Healthcare Administrator,Administration,Poor Work Environment,6,Never,2,No,4,Yes
HCP-00078,Registered Nurse,General Medicine,Heavy Workload,8,Occasionally,2,Yes,7,Yes
HCP-00079,Pediatric Nurse,Pediatrics,Heavy Workload,7,Never,4,Yes,5,No
HCP-00080,Registered Nurse,General Medicine,Heavy Workload,9,Occasionally,2,Yes,9,Yes
HCP-00081,Radiology Technician,Radiology,Safety Concerns,8,Often,2,No,6,Yes
HCP-00082,Medical Assistant,Outpatient Services,Poor Work Environment,7,Occasionally,3,No,9,Yes
HCP-00083,Critical Care Nurse,ICU,Poor Work Environment,7,Occasionally,2,No,7,Yes
HCP-00084,Registered Nurse,General Medicine,Heavy Workload,8,Occasionally,3,No,6,Yes
HCP-00085,Critical Care Nurse,ICU,Heavy Workload,7,Occasionally,1,Yes,4,Yes
HCP-00086,Critical Care Nurse,ICU,Heavy Workload,9,Occasionally,2,No,7,No
HCP-00087,Nursing Assistant,Assisted Living,Emotional Demands,7,Often,1,No,8,Yes
HCP-00088,Medical Assistant,Outpatient Services,Poor Work Environment,7,Never,1,Yes,7,Yes
HCP-00089,Radiology Technician,Radiology,Poor Work Environment,8,Often,2,Yes,8,Yes
HCP-00090,Physician (General),General Practice,Heavy Workload,8,Occasionally,2,Yes,8,No
HCP-00091,Registered Nurse,General Medicine,Heavy Workload,8,Occasionally,2,Yes,6,Yes
HCP-00092,Nursing Assistant,Assisted Living,Heavy Workload,7,Occasionally,3,No,12,Yes
HCP-00093,Healthcare Administrator,Administration,Job Insecurity,5,Occasionally,4,Yes,4,Yes
HCP-00094,Medical Assistant,Outpatient Services,Poor Work Environment,8,Often,1,Yes,8,Yes
HCP-00095,Healthcare Administrator,Administration,Career Stagnation,6,Occasionally,3,Yes,5,No
HCP-00096,Physician (Specialist),Specialty Care,Poor Work Environment,7,Occasionally,3,Yes,7,No
HCP-00097,Physician (Specialist),Specialty Care,Heavy Workload,8,Occasionally,2,Yes,7,Yes
HCP-00098,Physician (General),General Practice,Heavy Workload,9,Often,2,No,12,No
HCP-00099,Registered Nurse,General Medicine,Heavy Workload,8,Often,3,Yes,7,Yes
HCP-00100,Registered Nurse,General Medicine,Heavy Workload,7,Never,2,No,11,Yes
HCP-00101,Registered Nurse,General Medicine,Heavy Workload,9,Often,2,Yes,7,No
HCP-00102,Medical Assistant,Outpatient Services,Heavy Workload,9,Never,1,No,5,Yes
HCP-00103,Critical Care Nurse,ICU,Heavy Workload,9,Occasionally,2,Yes,7,Yes
HCP-00104,Physician (Specialist),Specialty Care,Poor Work Environment,7,Occasionally,2,Yes,9,Yes
HCP-00105,Radiology Technician,Radiology,Safety Concerns,9,Often,2,Yes,8,No
HCP-00106,Registered Nurse,General Medicine,Heavy Workload,8,Often,1,No,10,Yes
HCP-00107,Physician (General),General Practice,Heavy Workload,8,Never,4,Yes,5,Yes
HCP-00108,Healthcare Administrator,Administration,Career Stagnation,5,Occasionally,4,Yes,5,No
HCP-00109,Registered Nurse,General Medicine,Poor Work Environment,7,Occasionally,3,No,5,Yes
HCP-00110,Registered Nurse,General Medicine,Unclear Job Expectations,4,Never,3,Yes,2,No
HCP-00111,Critical Care Nurse,ICU,Work-Life Imbalance,7,Often,3,Yes,6,No
HCP-00112,Registered Nurse,General Medicine,Work-Life Imbalance,7,Often,3,Yes,7,No
HCP-00113,Radiology Technician,Radiology,Poor Work Environment,8,Often,2,Yes,9,Yes
HCP-00114,Healthcare Administrator,Administration,Poor Work Environment,7,Never,4,Yes,8,No
HCP-00115,Medical Assistant,Outpatient Services,Poor Work Environment,6,Occasionally,3,Yes,2,No
HCP-00116,Radiology Technician,Radiology,Poor Work Environment,6,Often,2,No,7,Yes
HCP-00117,Healthcare Administrator,Administration,Career Stagnation,4,Occasionally,3,Yes,3,No
HCP-00118,Registered Nurse,General Medicine,Heavy Workload,9,Often,2,Yes,5,Yes
HCP-00119,Radiology Technician,Radiology,Career Stagnation,4,Never,2,Yes,4,Yes
HCP-00120,Physician (Specialist),Specialty Care,Poor Work Environment,8,Often,1,Yes,7,Yes
HCP-00121,Healthcare Administrator,Administration,Career Stagnation,4,Occasionally,3,Yes,5,Yes
HCP-00122,Radiology Technician,Radiology,Heavy Workload,8,Never,5,No,10,Yes
HCP-00123,Critical Care Nurse,ICU,Heavy Workload,9,Often,3,No,9,Yes
HCP-00124,Registered Nurse,General Medicine,Heavy Workload,9,Often,2,No,13,Yes
HCP-00125,Registered Nurse,General Medicine,Career Stagnation,4,Never,4,Yes,0,No
HCP-00126,Physician (General),General Practice,Work-Life Imbalance,9,Occasionally,1,No,10,Yes
HCP-00127,Healthcare Administrator,Administration,Poor Work Environment,7,Occasionally,3,No,3,No
HCP-00128,Radiology Technician,Radiology,Safety Concerns,9,Often,1,Yes,7,Yes
HCP-00129,Registered Nurse,General Medicine,Heavy Workload,9,Often,1,Yes,10,Yes
HCP-00130,Physician (Specialist),Specialty Care,Heavy Workload,9,Occasionally,2,Yes,6,Yes
HCP-00131,Physician (General),General Practice,Work-Life Imbalance,9,Occasionally,2,Yes,6,Yes
HCP-00132,Registered Nurse,General Medicine,Heavy Workload,8,Often,1,No,17,Yes
HCP-00133,Registered Nurse,General Medicine,Heavy Workload,9,Often,2,Yes,6,Yes
HCP-00134,Critical Care Nurse,ICU,Heavy Workload,8,Never,2,Yes,11,Yes
HCP-00135,Laboratory Technician,Laboratory,Unclear Job Expectations,4,Occasionally,1,Yes,3,Yes
HCP-00136,Critical Care Nurse,ICU,Heavy Workload,7,Never,1,Yes,5,Yes
HCP-00137,Physician (Specialist),Specialty Care,Heavy Workload,7,Never,2,Yes,8,Yes
HCP-00138,Nursing Assistant,Assisted Living,Heavy Workload,9,Occasionally,1,No,15,Yes
HCP-00139,Pediatric Nurse,Pediatrics,Emotional Demands,7,Occasionally,3,Yes,4,No
HCP-00140,Laboratory Technician,Laboratory,Unclear Job Expectations,5,Occasionally,3,No,5,No
HCP-00141,Laboratory Technician,Laboratory,Poor Work Environment,6,Often,3,Yes,7,No
HCP-00142,Critical Care Nurse,ICU,Heavy Workload,8,Often,1,Yes,8,Yes
HCP-00143,Physician (Specialist),Specialty Care,Heavy Workload,9,Often,2,Yes,11,Yes
HCP-00144,Critical Care Nurse,ICU,Poor Work Environment,7,Occasionally,3,No,10,Yes
HCP-00145,Critical Care Nurse,ICU,Heavy Workload,9,Often,2,Yes,12,Yes
HCP-00146,Registered Nurse,General Medicine,Work-Life Imbalance,9,Often,2,Yes,9,Yes
HCP-00147,Medical Assistant,Outpatient Services,Heavy Workload,9,Often,3,Yes,9,Yes
HCP-00148,Physician (Specialist),Specialty Care,Heavy Workload,8,Often,1,No,10,Yes
HCP-00149,Registered Nurse,General Medicine,Poor Work Environment,8,Often,2,Yes,7,Yes
HCP-00150,Critical Care Nurse,ICU,Heavy Workload,8,Occasionally,3,Yes,9,No
HCP-00151,Radiology Technician,Radiology,Safety Concerns,9,Often,1,Yes,9,Yes
HCP-00152,Registered Nurse,General Medicine,Heavy Workload,8,Often,1,Yes,9,Yes
HCP-00153,Registered Nurse,General Medicine,Career Stagnation,4,Often,1,No,8,No
HCP-00154,Physician (Specialist),Specialty Care,Heavy Workload,7,Occasionally,3,No,10,No
HCP-00155,Laboratory Technician,Laboratory,Poor Work Environment,8,Often,1,Yes,9,Yes
HCP-00156,Registered Nurse,General Medicine,Heavy Workload,8,Often,1,No,6,Yes
HCP-00157,Nursing Assistant,Assisted Living,Heavy Workload,8,Occasionally,2,No,8,Yes
HCP-00158,Healthcare Administrator,Administration,Poor Work Environment,6,Occasionally,3,Yes,7,No
HCP-00159,Registered Nurse,General Medicine,Heavy Workload,9,Occasionally,1,No,15,No
HCP-00160,Nursing Assistant,Assisted Living,Heavy Workload,9,Occasionally,2,Yes,5,Yes
HCP-00161,Pediatric Nurse,Pediatrics,Emotional Demands,7,Occasionally,3,Yes,5,No
HCP-00162,Medical Assistant,Outpatient Services,Poor Work Environment,7,Occasionally,4,Yes,7,No
HCP-00163,Medical Assistant,Outpatient Services,Poor Work Environment,7,Occasionally,3,Yes,5,No
HCP-00164,Physician (Specialist),Specialty Care,Poor Work Environment,7,Occasionally,3,Yes,5,No
HCP-00165,Registered Nurse,General Medicine,Heavy Workload,9,Occasionally,2,No,12,Yes
HCP-00166,Healthcare Administrator,Administration,Job Insecurity,5,Never,3,No,11,Yes
HCP-00167,Critical Care Nurse,ICU,Heavy Workload,8,Never,2,No,3,Yes
HCP-00168,Registered Nurse,General Medicine,Heavy Workload,8,Occasionally,3,Yes,7,No
HCP-00169,Registered Nurse,General Medicine,Heavy Workload,8,Often,1,No,11,Yes
HCP-00170,Medical Assistant,Outpatient Services,Heavy Workload,8,Often,2,Yes,9,Yes
HCP-00171,Nursing Assistant,Assisted Living,Heavy Workload,8,Occasionally,4,Yes,8,Yes
HCP-00172,Registered Nurse,General Medicine,Heavy Workload,7,Never,1,Yes,10,Yes
HCP-00173,Physician (Specialist),Specialty Care,Poor Work Environment,7,Often,1,Yes,7,No
HCP-00174,Registered Nurse,General Medicine,Heavy Workload,8,Occasionally,1,Yes,10,Yes
HCP-00175,Medical Assistant,Outpatient Services,Heavy Workload,7,Often,1,Yes,5,Yes
HCP-00176,Registered Nurse,General Medicine,Work-Life Imbalance,7,Often,1,No,9,Yes
HCP-00177,Nursing Assistant,Assisted Living,Poor Work Environment,8,Occasionally,3,No,6,Yes
HCP-00178,Pediatric Nurse,Pediatrics,Heavy Workload,8,Occasionally,1,No,12,Yes
HCP-00179,Laboratory Technician,Laboratory,Poor Work Environment,7,Occasionally,2,Yes,6,Yes
HCP-00180,Registered Nurse,General Medicine,Career Stagnation,5,Never,3,No,8,No
HCP-00181,Critical Care Nurse,ICU,Heavy Workload,9,Occasionally,4,No,10,No
HCP-00182,Registered Nurse,General Medicine,Work-Life Imbalance,8,Occasionally,2,Yes,9,Yes
HCP-00183,Radiology Technician,Radiology,Safety Concerns,8,Often,2,No,11,Yes
HCP-00184,Radiology Technician,Radiology,Heavy Workload,8,Often,3,Yes,6,Yes
HCP-00185,Critical Care Nurse,ICU,Poor Work Environment,7,Never,3,Yes,5,Yes
HCP-00186,Nursing Assistant,Assisted Living,Poor Work Environment,7,Occasionally,2,Yes,6,Yes
HCP-00187,Healthcare Administrator,Administration,Poor Work Environment,8,Often,1,Yes,9,Yes
HCP-00188,Medical Assistant,Outpatient Services,Poor Work Environment,8,Often,1,No,15,Yes
HCP-00189,Physician (Specialist),Specialty Care,Heavy Workload,7,Occasionally,3,Yes,7,No
HCP-00190,Registered Nurse,General Medicine,Heavy Workload,7,Occasionally,1,Yes,9,No
HCP-00191,Registered Nurse,General Medicine,Heavy Workload,9,Often,1,No,6,Yes
HCP-00192,Radiology Technician,Radiology,Career Stagnation,4,Never,4,No,12,No
HCP-00193,Radiology Technician,Radiology,Career Stagnation,4,Never,4,Yes,5,No
HCP-00194,Medical Assistant,Outpatient Services,Career Stagnation,6,Occasionally,3,Yes,5,Yes
HCP-00195,Critical Care Nurse,ICU,Heavy Workload,8,Occasionally,2,Yes,7,No
HCP-00196,Critical Care Nurse,ICU,Poor Work Environment,8,Occasionally,3,Yes,5,Yes
HCP-00197,Nursing Assistant,Assisted Living,Emotional Demands,7,Often,2,Yes,5,No
HCP-00198,Radiology Technician,Radiology,Safety Concerns,9,Often,1,Yes,12,Yes
HCP-00199,Radiology Technician,Radiology,Safety Concerns,7,Occasionally,3,No,6,Yes
HCP-00200,Healthcare Administrator,Administration,Career Stagnation,4,Occasionally,4,No,2,Yes
HCP-00201,Medical Assistant,Outpatient Services,Poor Work Environment,7,Occasionally,1,Yes,5,No
HCP-00202,Registered Nurse,General Medicine,Unclear Job Expectations,4,Occasionally,3,Yes,1,Yes
HCP-00203,Registered Nurse,General Medicine,Poor Work Environment,7,Occasionally,2,Yes,7,No
HCP-00204,Radiology Technician,Radiology,Career Stagnation,4,Never,3,Yes,6,No
HCP-00205,Medical Assistant,Outpatient Services,Career Stagnation,4,Occasionally,4,Yes,2,Yes
HCP-00206,Registered Nurse,General Medicine,Heavy Workload,8,Often,1,Yes,5,Yes
HCP-00207,Registered Nurse,General Medicine,Work-Life Imbalance,9,Often,2,Yes,9,Yes
HCP-00208,Nursing Assistant,Assisted Living,Heavy Workload,7,Often,2,Yes,6,Yes
HCP-00209,Registered Nurse,General Medicine,Work-Life Imbalance,7,Never,3,Yes,9,No
HCP-00210,Registered Nurse,General Medicine,Heavy Workload,9,Never,2,Yes,8,Yes
HCP-00211,Physician (Specialist),Specialty Care,Heavy Workload,9,Often,1,Yes,8,Yes
HCP-00212,Nursing Assistant,Assisted Living,Heavy Workload,8,Often,1,Yes,7,Yes
HCP-00213,Nursing Assistant,Assisted Living,Heavy Workload,7,Often,1,Yes,7,Yes
HCP-00214,Registered Nurse,General Medicine,Poor Work Environment,7,Never,3,Yes,6,No
HCP-00215,Nursing Assistant,Assisted Living,Heavy Workload,9,Often,2,Yes,7,Yes
HCP-00216,Registered Nurse,General Medicine,Poor Work Environment,8,Often,1,Yes,4,Yes
HCP-00217,Critical Care Nurse,ICU,Heavy Workload,9,Often,2,Yes,7,Yes
HCP-00218,Nursing Assistant,Assisted Living,Emotional Demands,6,Never,3,No,10,No
HCP-00219,Medical Assistant,Outpatient Services,Poor Work Environment,7,Occasionally,3,Yes,8,Yes
HCP-00220,Healthcare Administrator,Administration,Career Stagnation,4,Occasionally,4,Yes,3,Yes
HCP-00221,Nursing Assistant,Assisted Living,Heavy Workload,9,Often,1,No,14,Yes
HCP-00222,Medical Assistant,Outpatient Services,Heavy Workload,9,Often,2,No,10,Yes
HCP-00223,Registered Nurse,General Medicine,Heavy Workload,9,Often,2,Yes,6,Yes
HCP-00224,Pediatric Nurse,Pediatrics,Heavy Workload,8,Often,2,No,5,Yes
HCP-00225,Critical Care Nurse,ICU,Heavy Workload,7,Never,4,Yes,9,Yes
HCP-00226,Registered Nurse,General Medicine,Heavy Workload,8,Never,2,No,8,Yes
HCP-00227,Laboratory Technician,Laboratory,Poor Work Environment,8,Occasionally,1,Yes,5,No
HCP-00228,Pediatric Nurse,Pediatrics,Unclear Job Expectations,5,Never,2,No,0,Yes
HCP-00229,Radiology Technician,Radiology,Safety Concerns,7,Often,2,No,7,Yes
HCP-00230,Medical Assistant,Outpatient Services,Heavy Workload,8,Often,3,Yes,8,Yes
HCP-00231,Healthcare Administrator,Administration,Poor Work Environment,7,Never,4,No,6,No
HCP-00232,Physician (Specialist),Specialty Care,Poor Work Environment,7,Occasionally,2,Yes,4,Yes
HCP-00233,Medical Assistant,Outpatient Services,Heavy Workload,9,Often,2,Yes,7,Yes
HCP-00234,Physician (Specialist),Specialty Care,Poor Work Environment,7,Occasionally,3,Yes,9,No
HCP-00235,Registered Nurse,General Medicine,Heavy Workload,9,Occasionally,1,No,6,Yes
HCP-00236,Nursing Assistant,Assisted Living,Heavy Workload,8,Often,1,Yes,6,No
HCP-00237,Critical Care Nurse,ICU,Heavy Workload,9,Occasionally,1,Yes,11,No
HCP-00238,Registered Nurse,General Medicine,Poor Work Environment,7,Occasionally,4,Yes,7,No
HCP-00239,Medical Assistant,Outpatient Services,Poor Work Environment,8,Often,2,Yes,8,Yes
HCP-00240,Registered Nurse,General Medicine,Heavy Workload,8,Never,2,Yes,6,Yes
HCP-00241,Laboratory Technician,Laboratory,Unclear Job Expectations,5,Often,1,No,7,Yes
HCP-00242,Laboratory Technician,Laboratory,Safety Concerns,7,Occasionally,3,No,7,Yes
HCP-00243,Radiology Technician,Radiology,Poor Work Environment,7,Occasionally,4,Yes,5,No
HCP-00244,Pediatric Nurse,Pediatrics,Work-Life Imbalance,8,Often,2,Yes,5,Yes
HCP-00245,Registered Nurse,General Medicine,Poor Work Environment,6,Never,4,Yes,7,Yes
HCP-00246,Radiology Technician,Radiology,Poor Work Environment,8,Occasionally,1,Yes,7,Yes
HCP-00247,Physician (General),General Practice,Work-Life Imbalance,7,Often,2,Yes,7,Yes
HCP-00248,Laboratory Technician,Laboratory,Career Stagnation,5,Never,3,Yes,5,No
HCP-00249,Laboratory Technician,Laboratory,Safety Concerns,9,Often,2,Yes,9,No
HCP-00250,Radiology Technician,Radiology,Poor Work Environment,6,Occasionally,2,Yes,5,Yes
HCP-00251,Critical Care Nurse,ICU,Heavy Workload,9,Never,4,No,9,Yes
HCP-00252,Pediatric Nurse,Pediatrics,Work-Life Imbalance,7,Occasionally,2,No,6,Yes
HCP-00253,Radiology Technician,Radiology,Poor Work Environment,6,Never,4,Yes,3,No
HCP-00254,Critical Care Nurse,ICU,Heavy Workload,8,Often,1,Yes,5,No
HCP-00255,Registered Nurse,General Medicine,Work-Life Imbalance,9,Often,1,Yes,8,Yes
HCP-00256,Medical Assistant,Outpatient Services,Heavy Workload,7,Often,2,No,4,Yes
HCP-00257,Laboratory Technician,Laboratory,Safety Concerns,8,Often,1,Yes,5,Yes
HCP-00258,Nursing Assistant,Assisted Living,Emotional Demands,7,Never,5,No,12,No
HCP-00259,Medical Assistant,Outpatient Services,Heavy Workload,9,Often,2,Yes,9,Yes
HCP-00260,Registered Nurse,General Medicine,Work-Life Imbalance,7,Occasionally,3,Yes,6,No
HCP-00261,Medical Assistant,Outpatient Services,Poor Work Environment,7,Occasionally,4,Yes,11,Yes
HCP-00262,Laboratory Technician,Laboratory,Career Stagnation,5,Occasionally,4,Yes,1,No
HCP-00263,Registered Nurse,General Medicine,Heavy Workload,9,Often,2,Yes,10,No
HCP-00264,Physician (Specialist),Specialty Care,Poor Work Environment,8,Often,3,Yes,7,Yes
HCP-00265,Radiology Technician,Radiology,Heavy Workload,9,Often,1,No,13,No
HCP-00266,Nursing Assistant,Assisted Living,Emotional Demands,6,Occasionally,1,Yes,6,Yes
HCP-00267,Nursing Assistant,Assisted Living,Heavy Workload,8,Occasionally,2,Yes,4,No
HCP-00268,Nursing Assistant,Assisted Living,Heavy Workload,8,Often,1,Yes,8,Yes
HCP-00269,Pediatric Nurse,Pediatrics,Unclear Job Expectations,4,Never,3,Yes,4,No
HCP-00270,Critical Care Nurse,ICU,Heavy Workload,8,Never,2,Yes,3,Yes
HCP-00271,Healthcare Administrator,Administration,Career Stagnation,4,Never,3,Yes,7,No
HCP-00272,Healthcare Administrator,Administration,Career Stagnation,4,Occasionally,4,Yes,4,No
HCP-00273,Radiology Technician,Radiology,Safety Concerns,9,Occasionally,2,Yes,10,Yes
HCP-00274,Radiology Technician,Radiology,Career Stagnation,4,Occasionally,4,Yes,1,Yes
HCP-00275,Physician (Specialist),Specialty Care,Poor Work Environment,8,Occasionally,3,Yes,9,No
HCP-00276,Physician (Specialist),Specialty Care,Poor Work Environment,7,Occasionally,2,No,12,Yes
HCP-00277,Healthcare Administrator,Administration,Career Stagnation,5,Occasionally,3,Yes,5,No
HCP-00278,Medical Assistant,Outpatient Services,Poor Work Environment,8,Often,1,No,9,Yes
HCP-00279,Nursing Assistant,Assisted Living,Poor Work Environment,7,Occasionally,4,Yes,5,No
HCP-00280,Healthcare Administrator,Administration,Career Stagnation,4,Often,1,Yes,3,Yes
HCP-00281,Radiology Technician,Radiology,Heavy Workload,8,Often,1,Yes,6,No
HCP-00282,Critical Care Nurse,ICU,Heavy Workload,8,Often,2,Yes,9,Yes
HCP-00283,Pediatric Nurse,Pediatrics,Heavy Workload,9,Often,2,Yes,7,Yes
HCP-00284,Registered Nurse,General Medicine,Work-Life Imbalance,9,Often,1,Yes,10,Yes
HCP-00285,Medical Assistant,Outpatient Services,Heavy Workload,7,Occasionally,2,Yes,5,Yes
HCP-00286,Registered Nurse,General Medicine,Poor Work Environment,6,Often,3,Yes,5,No
HCP-00287,Physician (General),General Practice,Safety Concerns,8,Often,2,No,11,Yes
HCP-00288,Physician (Specialist),Specialty Care,Poor Work Environment,6,Often,1,No,5,Yes
HCP-00289,Critical Care Nurse,ICU,Heavy Workload,9,Often,1,Yes,10,Yes
HCP-00290,Medical Assistant,Outpatient Services,Heavy Workload,7,Often,3,Yes,8,No
HCP-00291,Registered Nurse,General Medicine,Heavy Workload,8,Occasionally,3,Yes,7,Yes
HCP-00292,Registered Nurse,General Medicine,Heavy Workload,7,Often,3,Yes,9,Yes
HCP-00293,Healthcare Administrator,Administration,Career Stagnation,4,Occasionally,3,No,6,No
